query;query_type;result;columns;table;database
INSERT INTO imdb (title, genre, release_date) VALUES ('The Dark Knight', 'Action', '2008-07-18');INSERT;Success;title,genre,release_date;imdb;sqlserver
UPDATE imdb SET genre = 'Crime' WHERE movie_id = 1;UPDATE;Success;genre;imdb;sqlserver
SELECT * FROM housing;SELECT;Success;property_id,location,type,price;housing;sqlserver
INSERT INTO housing (location, type, price) VALUES ('Downtown Loft', 'Condo', 250000);INSERT;Success;location,type,price;housing;sqlserver
UPDATE housing SET price = 280000 WHERE property_id = 1;UPDATE;Success;price;housing;sqlserver
SELECT * FROM parks;SELECT;Success;park_id,name,location,size;parks;sqlserver
INSERT INTO parks (name, location, size) VALUES ('City Center Park', 'City S', 'Large');INSERT;Success;name,location,size;parks;sqlserver
UPDATE parks SET size = 'Extra Large' WHERE park_id = 1;UPDATE;Success;size;parks;sqlserver
SELECT * FROM domestic_violence;SELECT;Success;incident_id,location,date,severity;domestic_violence;PostgreSQL
INSERT INTO domestic_violence (location, date, severity) VALUES ('City T', '2022-06-20', 'High');INSERT;Success;location,date,severity;domestic_violence;PostgreSQL
UPDATE domestic_violence SET severity = 'Critical' WHERE incident_id = 1;UPDATE;Success;severity;domestic_violence;PostgreSQL
SELECT * FROM imdb;SELECT;Success;movie_id,title,genre,release_date;imdb;PostgreSQL
INSERT INTO imdb (title, genre, release_date) VALUES ('Pulp Fiction', 'Crime', '1994-10-14');INSERT;Success;title,genre,release_date;imdb;PostgreSQL
UPDATE imdb SET genre = 'Drama' WHERE movie_id = 1;UPDATE;Success;genre;imdb;PostgreSQL
SELECT * FROM housing;SELECT;Success;property_id,location,type,price;housing;PostgreSQL
INSERT INTO housing (location, type, price) VALUES ('Luxury Villa', 'House', 500000);INSERT;Success;location,type,price;housing;PostgreSQL
UPDATE housing SET price = 550000 WHERE property_id = 1;UPDATE;Success;price;housing;PostgreSQL
SELECT * FROM parks;SELECT;Success;park_id,name,location,size;parks;PostgreSQL
INSERT INTO parks (name, location, size) VALUES ('Sunny Meadows', 'City U', 'Small');INSERT;Success;name,location,size;parks;PostgreSQL
UPDATE parks SET size = 'Medium' WHERE park_id = 1;UPDATE;Success;size;parks;PostgreSQL
SELECT * FROM paintings;SELECT;Success;painting_id,title,artist,style;paintings;MySQL
INSERT INTO paintings (title, artist, style) VALUES ('Starry Night', 'Vincent van Gogh', 'Post-Impressionism');INSERT;Success;title,artist,style;paintings;MySQL
UPDATE paintings SET style = 'Modern Art' WHERE painting_id = 1;UPDATE;Success;style;paintings;MySQL
SELECT * FROM home_types;SELECT;Success;type_id,name,structure;home_types;MySQL
INSERT INTO home_types (name, structure) VALUES ('Single-Family Home', 'Detached');INSERT;Success;name,structure;home_types;MySQL
UPDATE home_types SET structure = 'Attached' WHERE type_id = 1;UPDATE;Success;structure;home_types;MySQL
SELECT * FROM home_appliances;SELECT;Success;appliance_id,name,category;home_appliances;MySQL
INSERT INTO home_appliances (name, category) VALUES ('Refrigerator', 'Kitchen');INSERT;Success;name,category;home_appliances;MySQL
UPDATE home_appliances SET category = 'Appliances' WHERE appliance_id = 1;UPDATE;Success;category;home_appliances;MySQL
SELECT * FROM paintings;SELECT;Success;painting_id,title,artist,style;paintings;sqlserver
INSERT INTO paintings (title, artist, style) VALUES ('The Persistence of Memory', 'Salvador Dalí', 'Surrealism');INSERT;Success;title,artist,style;paintings;sqlserver
UPDATE paintings SET style = 'Abstract' WHERE painting_id = 1;UPDATE;Success;style;paintings;sqlserver
SELECT * FROM home_types;SELECT;Success;type_id,name,structure;home_types;sqlserver
INSERT INTO home_types (name, structure) VALUES ('Condo', 'Attached');INSERT;Success;name,structure;home_types;sqlserver
UPDATE home_types SET structure = 'Detached' WHERE type_id = 1;UPDATE;Success;structure;home_types;sqlserver
SELECT * FROM home_appliances;SELECT;Success;appliance_id,name,category;home_appliances;sqlserver
INSERT INTO home_appliances (name, category) VALUES ('Washing Machine', 'Laundry');INSERT;Success;name,category;home_appliances;sqlserver
UPDATE home_appliances SET category = 'Household' WHERE appliance_id = 1;UPDATE;Success;category;home_appliances;sqlserver
SELECT * FROM paintings;SELECT;Success;painting_id,title,artist,style;paintings;PostgreSQL
INSERT INTO paintings (title, artist, style) VALUES ('Mona Lisa', 'Leonardo da Vinci', 'Renaissance');INSERT;Success;title,artist,style;paintings;PostgreSQL
UPDATE paintings SET style = 'Classic' WHERE painting_id = 1;UPDATE;Success;style;paintings;PostgreSQL
SELECT * FROM home_types;SELECT;Success;type_id,name,structure;home_types;PostgreSQL
INSERT INTO home_types (name, structure) VALUES ('Townhouse', 'Attached');INSERT;Success;name,structure;home_types;PostgreSQL
UPDATE home_types SET structure = 'Detached' WHERE type_id = 1;UPDATE;Success;structure;home_types;PostgreSQL
SELECT * FROM home_appliances;SELECT;Success;appliance_id,name,category;home_appliances;PostgreSQL
INSERT INTO home_appliances (name, category) VALUES ('Microwave Oven', 'Kitchen');INSERT;Success;name,category;home_appliances;PostgreSQL
UPDATE home_appliances SET category = 'Electronics' WHERE appliance_id = 1;UPDATE;Success;category;home_appliances;PostgreSQL
SELECT * FROM illness;SELECT;Success;patient_id,condition,symptoms,treatment;illness;MySQL
INSERT INTO illness (condition, symptoms, treatment) VALUES ('Flu', 'Fever, cough, fatigue', 'Rest and fluids');INSERT;Success;condition,symptoms,treatment;illness;MySQL
UPDATE illness SET treatment = 'Antibiotics' WHERE patient_id = 1;UPDATE;Success;treatment;illness;MySQL
SELECT * FROM boxing;SELECT;Success;match_id,fighter1,fighter2,rounds,winner;boxing;MySQL
INSERT INTO boxing (fighter1, fighter2, rounds, winner) VALUES ('Mike Tyson', 'Muhammad Ali', 12, 'Mike Tyson');INSERT;Success;fighter1,fighter2,rounds,winner;boxing;MySQL
UPDATE boxing SET winner = 'Draw' WHERE match_id = 1;UPDATE;Success;winner;boxing;MySQL
SELECT * FROM f1_races;SELECT;Success;race_id,circuit,location,winner;f1_races;MySQL
INSERT INTO f1_races (circuit, location, winner) VALUES ('Monaco Grand Prix', 'Monte Carlo', 'Lewis Hamilton');INSERT;Success;circuit,location,winner;f1_races;MySQL
UPDATE f1_races SET winner = 'Max Verstappen' WHERE race_id = 1;UPDATE;Success;winner;f1_races;MySQL
SELECT * FROM football;SELECT;Success;match_id,team1,team2,score,winner;football;MySQL
INSERT INTO football (team1, team2, score, winner) VALUES ('Barcelona', 'Real Madrid', '3-2', 'Barcelona');INSERT;Success;team1,team2,score,winner;football;MySQL
UPDATE football SET winner = 'Draw' WHERE match_id = 1;UPDATE;Success;winner;football;MySQL
SELECT * FROM cricket;SELECT;Success;match_id,team1,team2,score,winner;cricket;MySQL
INSERT INTO cricket (team1, team2, score, winner) VALUES ('India', 'Australia', '250-200', 'India');INSERT;Success;team1,team2,score,winner;cricket;MySQL
UPDATE cricket SET winner = 'Australia' WHERE match_id = 1;UPDATE;Success;winner;cricket;MySQL
SELECT * FROM weight_lifting;SELECT;Success;lift_id,athlete,weight_class,weight_lifted,result;weight_lifting;MySQL
INSERT INTO weight_lifting (athlete, weight_class, weight_lifted, result) VALUES ('John Smith', 'Heavyweight', '200 kg', 'Gold');INSERT;Success;athlete,weight_class,weight_lifted,result;weight_lifting;MySQL
UPDATE weight_lifting SET result = 'Silver' WHERE lift_id = 1;UPDATE;Success;result;weight_lifting;MySQL
SELECT * FROM illness;SELECT;Success;patient_id,condition,symptoms,treatment;illness;sqlserver
INSERT INTO illness (condition, symptoms, treatment) VALUES ('Allergies', 'Sneezing, itching, congestion', 'Antihistamines');INSERT;Success;condition,symptoms,treatment;illness;sqlserver
UPDATE illness SET treatment = 'Nasal Spray' WHERE patient_id = 1;UPDATE;Success;treatment;illness;sqlserver
SELECT * FROM boxing;SELECT;Success;match_id,fighter1,fighter2,rounds,winner;boxing;sqlserver
INSERT INTO boxing (fighter1, fighter2, rounds, winner) VALUES ('Floyd Mayweather', 'Manny Pacquiao', 12, 'Floyd Mayweather');INSERT;Success;fighter1,fighter2,rounds,winner;boxing;sqlserver
UPDATE boxing SET winner = 'Manny Pacquiao' WHERE match_id = 1;UPDATE;Success;winner;boxing;sqlserver
SELECT * FROM f1_races;SELECT;Success;race_id,circuit,location,winner;f1_races;sqlserver
INSERT INTO f1_races (circuit, location, winner) VALUES ('Silverstone Circuit', 'Silverstone', 'Valtteri Bottas');INSERT;Success;circuit,location,winner;f1_races;sqlserver
UPDATE f1_races SET winner = 'Lewis Hamilton' WHERE race_id = 1;UPDATE;Success;winner;f1_races;sqlserver
SELECT * FROM football;SELECT;Success;match_id,team1,team2,score,winner;football;sqlserver
INSERT INTO football (team1, team2, score, winner) VALUES ('Manchester United', 'Liverpool', '2-1', 'Manchester United');INSERT;Success;team1,team2,score,winner;football;sqlserver
UPDATE football SET winner = 'Liverpool' WHERE match_id = 1;UPDATE;Success;winner;football;sqlserver
SELECT * FROM cricket;SELECT;Success;match_id,team1,team2,score,winner;cricket;sql
SELECT * FROM illness;SELECT;Success;patient_id,condition,symptoms,treatment;illness;PostgreSQL
INSERT INTO illness (condition, symptoms, treatment) VALUES ('Common Cold', 'Runny nose, cough, sore throat', 'Rest and fluids');INSERT;Success;condition,symptoms,treatment;illness;PostgreSQL
UPDATE illness SET treatment = 'Medication' WHERE patient_id = 1;UPDATE;Success;treatment;illness;PostgreSQL
SELECT * FROM boxing;SELECT;Success;match_id,fighter1,fighter2,rounds,winner;boxing;PostgreSQL
INSERT INTO boxing (fighter1, fighter2, rounds, winner) VALUES ('Evander Holyfield', 'Mike Tyson', 10, 'Draw');INSERT;Success;fighter1,fighter2,rounds,winner;boxing;PostgreSQL
UPDATE boxing SET winner = 'Mike Tyson' WHERE match_id = 1;UPDATE;Success;winner;boxing;PostgreSQL
SELECT * FROM f1_races;SELECT;Success;race_id,circuit,location,winner;f1_races;PostgreSQL
INSERT INTO f1_races (circuit, location, winner) VALUES ('Monza', 'Italy', 'Lewis Hamilton');INSERT;Success;circuit,location,winner;f1_races;PostgreSQL
UPDATE f1_races SET winner = 'Max Verstappen' WHERE race_id = 1;UPDATE;Success;winner;f1_races;PostgreSQL
SELECT * FROM football;SELECT;Success;match_id,team1,team2,score,winner;football;PostgreSQL
INSERT INTO football (team1, team2, score, winner) VALUES ('Bayern Munich', 'Real Madrid', '3-2', 'Bayern Munich');INSERT;Success;team1,team2,score,winner;football;PostgreSQL
UPDATE football SET winner = 'Draw' WHERE match_id = 1;UPDATE;Success;winner;football;PostgreSQL
SELECT * FROM cricket;SELECT;Success;match_id,team1,team2,score,winner;cricket;PostgreSQL
INSERT INTO cricket (team1, team2, score, winner) VALUES ('England', 'India', '280-220', 'England');INSERT;Success;team1,team2,score,winner;cricket;PostgreSQL
UPDATE cricket SET winner = 'India' WHERE match_id = 1;UPDATE;Success;winner;cricket;PostgreSQL
SELECT * FROM weight_lifting;SELECT;Success;lift_id,athlete,weight_class,weight_lifted,result;weight_lifting;PostgreSQL
INSERT INTO weight_lifting (athlete, weight_class, weight_lifted, result) VALUES ('Emily Johnson', 'Lightweight', '120 kg', 'Gold');INSERT;Success;athlete,weight_class,weight_lifted,result;weight_lifting;PostgreSQL
UPDATE weight_lifting SET result = 'Silver' WHERE lift_id = 1;UPDATE;Success;result;weight_lifting;PostgreSQL
